Licitacao,Relatorio,Orgao,Descricao,Objeto,Arquivo,Conteudo,Link,Status,Itens
00394452000103-1-008515/2022,00394452000103-1-008515-2022.md,COMANDO DO EXERCITO,Edital nº 00768/2022,"Contratação de empresa de engenharia, sob o regime de empreitada global, para a execução dos serviços de reforma, com redução de área de ocupação, do estacionamento do Escritório Regional da FHE (ESCSP), estabelecido à Rua Tutóia, Nº 586, Paraíso, em São Paulo/SP, juntamente com a realização de serviços de manutenções pontuais na edificação, conforme especificações técnicas, contidas no Projeto Básico, Anexo I do edital.",16800103007682022000.zip,Edital n 768.2022.v1.COJUR assinado.pdf; RelacaoItens16800103007682022000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2022/8515/arquivos/1,Ativo,"Serviço Engenharia (R$ 391.781,49)"
33839275000172-1-000007/2023,33839275000172-1-000007-2023.md,CONSELHO FEDERAL DE QUIMICA,Edital nº 00002/2023,"Contratação de empresa especializada no gerenciamento, assessoramento e fiscalização da obra de reforma do prédio de propriedade do Conselho Federal de Química (CFQ), localizado no Setor de Autarquias Sul, Quadra 05, Lotes 3/5 Bloco I – Edifício CFQ – Brasília-DF.",38926003000022023000.zip,Edital da Concorrencia n 02.2023 - Fiscalizacao da Obra Sede Saus.zip; Edital da Concorrencia n 02.2023 - Fiscalizacao da Obra Sede Saus.zip/Edital da Concorrência nº 02.2023 - Fiscalização da Obra Sede Saus/; Edital da Concorrencia n 02.2023 - Fiscalizacao da Obra Sede Saus.zip/Edital da Concorrência nº 02.2023 - Fiscalização da Obra Sede Saus/Anexo I - Termo de Referência - Fiscalização Obra Sede Saus.pdf; Edital da Concorrencia n 02.2023 - Fiscalizacao da Obra Sede Saus.zip/Edital da Concorrência nº 02.2023 - Fiscalização da Obra Sede Saus/Anexo II - Estudo Técnico Preliminar- Fiscalização da Obra Sede Saus.pdf; Edital da Concorrencia n 02.2023 - Fiscalizacao da Obra Sede Saus.zip/Edital da Concorrência nº 02.2023 - Fiscalização da Obra Sede Saus/Edital Concorrência Eletrônica 02.2023 - Fiscalização da Obra Sede Saus.pdf; RelacaoItens38926003000022023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/33839275000172/compras/2023/7/arquivos/1,Ativo,"Supervisão / Gerenciamento / Fiscalização - Projeto Constru-ção / Obras Civis (R$ 779.017,87)"
76639384000159-1-000133/2023,76639384000159-1-000133-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00002/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Toledo – PR.",38908803000022023000.zip,N 020-23 (Concorrencia 002 - Reforma Toledo).pdf; RelacaoItens38908803000022023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/133/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 52.938,37)"
76639384000159-1-000134/2023,76639384000159-1-000134-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00003/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Arapongas–PR.",38908803000032023000.zip,N 021-23 (Concorrencia 003 - Reforma Arapongas).pdf; RelacaoItens38908803000032023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/134/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 71.934,46)"
76639384000159-1-000135/2023,76639384000159-1-000135-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00004/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Castro–PR.",38908803000042023000.zip,N 022-23 (Concorrencia 004 - Reforma Castro).pdf; RelacaoItens38908803000042023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/135/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 67.919,56)"
76639384000159-1-000140/2023,76639384000159-1-000140-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00005/2023,"Prestação de serviços de execução de projetos na área de engenharia elétrica, visando à unificação de entradas de energia em imóvel localizado em Curitiba – PR.",38908803000052023000.zip,N 023-23 (Concorrencia 005 - Entrada energia sede).pdf; RelacaoItens38908803000052023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/140/arquivos/1,Ativo,"Obras Civis de Linhas de Transmissão de Energia Elétrica (R$ 202.937,70)"
76639384000159-1-000142/2023,76639384000159-1-000142-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00006/2023,Prestação de serviços de engenharia para elaboração de estudos técnicos e projeto executivo de eficiência energética – utilizando tecnologia BIM (Building Information Modeling) visando a instalação de sistemas fotovoltaicos em edificações localizadas no Paraná.,38908803000062023000.zip,N 024-23 (Concorrencia 006 - Projeto sistema fotovoltaico).pdf; RelacaoItens38908803000062023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/142/arquivos/1,Ativo,"Consultoria e Assessoria - Energia Renovável / ConservaçãoEnergia (R$ 263.000,00)"
76639384000159-1-000143/2023,76639384000159-1-000143-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00007/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Londrina–PR.",38908803000072023000.zip,N 025-23 (Concorrencia 007 - Reforma Londrina).pdf; RelacaoItens38908803000072023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/143/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 1.425.325,91)"
76639384000159-1-000144/2023,76639384000159-1-000144-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00008/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Paranaguá–PR.",38908803000082023000.zip,N 026-23 (Concorrencia 008 - Reforma Paranagua).pdf; RelacaoItens38908803000082023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/144/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 31.836,56)"
76639384000159-1-000145/2023,76639384000159-1-000145-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00009/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Irati–PR.",38908803000092023000.zip,N 027-23 (Concorrencia 009 - Reforma Irati).pdf; RelacaoItens38908803000092023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/145/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 151.563,06)"
23773012000154-1-000007/2023,23773012000154-1-000007-2023.md,CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO REGIONAL - CONDER,Edital nº 1/2023,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE SERVIÇOS REMANESCENTES DE PROJETOS ELÉTRICOS DE ENTRADA DE ENERGIA, LÓGICA, ALARME DE INCÊNDIO E SPDA NO LOTE INDUSTRIAL Nº 05, MATRÍCULA IMOBILIÁRIA Nº. 45.151, LINHA TUPANCY, MUNICÍPIO DE SÃO MIGUEL DO OESTE/SC, CONFORME AS ESPECIFICAÇÕES E NORMAS ESTABELECIDAS NO MEMORIAL DESCRITIVO, PLANILHA ORÇAMENTÁRIA, CRONOGRAMA FÍSICO FINANCEIRO E DEMAIS ESPECIFICAÇÕES TÉCNICAS.",/var/www/html/conder.atende.net/temp/WCO/PNCP/Editaledital_24_2023_20074_documento.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/23773012000154/compras/2023/7/arquivos/1,Ativo,"EXECUÇÃO DE SERVIÇOS REMANESCENTES DE PROJETOS ELÉTRICOS DE ENTRADA DE ENERGIA, LÓGICA, ALARME DE INCÊNDIO E SPDA NO LOTE INDUSTRIAL Nº 05, MATRÍCULA IMOBILIÁRIA Nº. 45.151, LINHA TUPANCY, MUNICÍPIO DE SÃO MIGUEL DO OESTE/SC, CONFORME AS ESPECIFICAÇÕES E NORMAS ESTABELECIDAS NO MEMORIAL DESCRITIVO, PLANILHA ORÇAMENTÁRIA, CRONOGRAMA FÍSICO FINANCEIRO E DEMAIS ESPECIFICAÇÕES TÉCNICAS. (R$ 134.475,92)"
23773012000154-1-000009/2023,23773012000154-1-000009-2023.md,CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO REGIONAL - CONDER,Edital nº 24/2023/2023,"[Portal de Compras Públicas] - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE SERVIÇOS REMANESCENTES DE PROJETOS ELÉTRICOS DE ENTRADA DE ENERGIA, LÓGICA, ALARME DE INCÊNDIO E SPDA NO LOTE INDUSTRIAL Nº 05, MATRÍCULA IMOBILIÁRIA Nº. 45.151, LINHA TUPANCY, MUNICÍPIO DE SÃO MIGUEL DO OESTE/SC, CONFORME AS ESPECIFICAÇÕES E NORMAS ESTABELECIDAS NO MEMORIAL DESCRITIVO, PLANILHA ORÇAMENTÁRIA, CRONOGRAMA FÍSICO FINANCEIRO E DEMAIS ESPECIFICAÇÕES TÉCNICAS.",SPDA02.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/23773012000154/compras/2023/9/arquivos/1,Ativo,"EXECUÇÃO DE SERVIÇOS REMANESCENTES DE PROJETOS ELÉTRICOS DE ENTRADA DE ENERGIA, LÓGICA, ALARME DE INCÊNDIO E SPDA NO LOTE INDUSTRIAL Nº 05, MATRÍCULA IMOBILIÁRIA Nº. 45.151, LINHA TUPANCY, MUNICÍPIO DE SÃO MIGUEL DO OESTE/SC, CONFORME AS ESPECIFICAÇÕES E NORMAS ESTABELECIDAS NO MEMORIAL DESCRITIVO, PLANILHA ORÇAMENTÁRIA, CRONOGRAMA FÍSICO FINANCEIRO E DEMAIS ESPECIFICAÇÕES TÉCNICAS. (R$ 134.475,92)"
